actprincipal	actsemarnat	anio	calle	claveambiental	codigopostal	colonia	descscian	entrec1	entrec2	establecimiento	estado	latitudnorte	localidad	longitudoeste	municipio	nra	numexterior	numinterior	parqueindustrial	scian	sector	subsector	utmx	utmy
FABRICACIÓN DE COSMÉTICOS	Atributo no considerado en este año	2022	Circuito  SAN ROQUE PONIENTE Y NORTE	5V	36275		Fabricación de otros productos químicos	Atributo no considerado en este año	Atributo no considerado en este año	BEIERSDORF MANUFACTURING MEXICO S.A. DE C.V.,NIVEA	Guanajuato	"21°1'14"""	SILAO DE LA VICTORIA	"101°29'0"""	Silao de la Victoria	BMM1103700034	210 	 	PARQUE INDUSTRIAL SANTA FE AMPLIACION	325999	Quimica	Produccion de materias primas para perfumes y cosmeticos	241863.252	2326449.4311
EQUIPOS Y MATERIALES PARA EL COMERCIO Y SERVICIOS	Atributo no considerado en este año	2022	Calle ISIDORO SEPULVEDA	EE	66626		Comercio al por menor de otros vehículos de motor	Atributo no considerado en este año	Atributo no considerado en este año	BRAVO MONTACARGAS S.A. DE C.V.,BRAVO MONTACARGAS	Nuevo León	"25°44'40"""	CIUDAD APODACA	"100°13'16"""	Apodaca	BMOUC1900611	750 	 	PARQUE INDUSTRIAL MULTIPARK	468319	Articulos y productos metalicos	Centros distribuidores de autotransportes 	377508.7276	2847974.6964
Producción de partes para el sistema de transmisión automotriz	Atributo no considerado en este año	2022	Calle  2	9J	45680		Fabricación de partes de sistemas de transmisión para vehículos automotores	Atributo no considerado en este año	Atributo no considerado en este año	BORGWARNER MORSE SYSTEMS MEXICO S.A. DE C.V.,BORGWARNER	Jalisco	"20°30'43"""	EL SALTO	"103°14'30"""	El Salto	BMT9J1407011	10543 	 	PARQUE INDUSTRIAL EL SALTO	336350	Automotriz	Produccion de partes para el sistema de transmision automotriz	683349.2881	2269141.5972
TRANSPORTE Y REPARTO DE ALIMENTOS, PRODUCTOS, ARTÍCULOS, LÍQUIDOS Y OTROS	Atributo no considerado en este año	2022	Calle AVE. ALFONSO REYES	B3	64290	Colonia REGINA	Almacenes generales de depósito	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,CEDI UNIVERSIDAD	Jalisco	"25°42'25"""	GUADALAJARA	"100°18'50"""	Guadalajara	BMUB31903911	3001 	 		493111	Otros	Transporte y reparto de alimentos, productos, articulos ,liquidos y otros	368153.7452	2843895.6485
Elaboración de bebidas embotelladas no alcohólicas	Atributo no considerado en este año	2022	Avenida Niños Heroes	36	20110	Colonia TROJES DE ALONSO	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,PLANTA LAS TROJES	Aguascalientes	"21°56'16"""	AGUASCALIENTES	"102°17'35"""	Aguascalientes	BMU0100100014	200 	 		312111	Bebidas y tabaco	Produccion de refrescos	779607.3097	2428438.2318
Industria de las Bebidas No Alcohólicas	Atributo no considerado en este año	2022	Carretera DURANGO-MEZQUITAL KM 3	36	34199	Fraccionamiento REAL DEL MEZQUITAL	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,COCA-COLA	Durango	"23°59'37"""	VICTORIA DE DURANGO	"104°37'47"""	Durango	BMU1000500015	SN 	 		312111	Bebidas y tabaco	Produccion de refrescos	537652.2086	2653568.8484
Almacenamiento, distribución y venta de bebidas envasadas no alcohólicas.	Atributo no considerado en este año	2022	Calle CAMINO BOSQUES DE SAN ISIDRO	36	45130	Colonia ZAPOPAN INDUSTRIAL NORTE	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,CEDIS BELENES	Jalisco	"20°44'34"""	ZAPOPAN	"103°23'10"""	Zapopan	BMU1412000040	580 	 		312111	Bebidas y tabaco	Produccion de refrescos	668006.261	2294548.7633
ELABORACION Y DISTRIBUCION DE BEBIDAS CON Y SIN GAS Y AGUA PURIFICADA	Atributo no considerado en este año	2022	Carretera FEDERAL 57	36	26170	Ninguno NAVA	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,BEBIDAS MUNDIALES S. DE R.L. DE C.V. PLANTA PIEDRAS NEGRAS	Coahuila de Zaragoza	"28°36'0"""	NAVA	"100°34'53"""	Nava	BMU2P0502211	KM 13.5 	S/N 		312111	Bebidas y tabaco	Produccion de refrescos	345355.1933	3164706.783
INDUSTRIA DE BEBIDAS NO ALCOHOLICAS	Atributo no considerado en este año	2022	Periférico MANUEL GOMEZ MORIN	36	78110	Colonia FRACCION DEL SAUCITO	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,BEBIDAS MUNDIALES S.DE R.L. DE C.V.	San Luis Potosí	"22°27'38"""	SAN LUIS POTOSI	"100°59'1"""	San Luis Potosí	BMU2402800119	3005 	 		312111	Bebidas y tabaco	Produccion de refrescos	295873.1264	2485178.6163
Manufactura, Almacenamiento y Distribucion de Bebidas no Alcoholicas	Atributo no considerado en este año	2022	Calle CARR.  A SAN JUAN DE LOS PLANES KM.1.5	36	23050	Colonia PARQUE INDUSTRIAL	Elaboración de refrescos y otras bebidas no alcohólicas	Atributo no considerado en este año	Atributo no considerado en este año	BEBIDAS MUNDIALES, S. DE R. L. DE C. V.,PLANTA LA PAZ	Baja California Sur	"24°8'35"""	LA PAZ	"110°36'47"""	La Paz	BMU360300311	&amp;#039;sn&amp;#039; 	 		312111	Bebidas y tabaco	Produccion de refrescos	539290.1267	2670137.286
