nra,estado,municipio
ALM1L1411911,Jalisco,Zacoalco de Torres
ALM5M1510611,México,Toluca
ALM5T0900311,Ciudad de México,Coyoacán
ALM5T0900322,Ciudad de México,Coyoacán
ALM5T0901221,Ciudad de México,Coyoacán
ALM5T0901411,Ciudad de México,Benito Juárez
ALM8T2803211,Tamaulipas,Reynosa
ALM912803211,Tamaulipas,Reynosa
ALMEA1411911,Jalisco,Zacoalco de Torres
ALMEA2111411,Puebla,Puebla
ALMKE0503511,Coahuila de Zaragoza,Torreón
ALMKE0503512,Coahuila de Zaragoza,Torreón
ALMTI0503511,Coahuila de Zaragoza,Torreón
ALNLJ1901811,Nuevo León,García
ALP920803711,Chihuahua,Juárez
ALSKE2402811,San Luis Potosí,San Luis Potosí
ALU0100100034,Aguascalientes,Aguascalientes
ALU1103200082,Guanajuato,San José Iturbide
ALU1503300396,México,Ecatepec de Morelos
ALU7Q2111411,Puebla,Puebla
AMA070000003,Chiapas,Mapastepec
AMA0705100008,Chiapas,Mapastepec
AMA0711400003,Chiapas,Benemérito de las Américas
AMA522803211,Tamaulipas,Reynosa
AMA7T2201411,Querétaro,Querétaro
AMA8A1403911,Jalisco,Guadalajara
AMA9M2803211,Tamaulipas,Reynosa
AMAAX1510411,México,Tlalnepantla de Baz
AMAL70600711,Colima,Manzanillo
AMARP2201411,Querétaro,Querétaro
AMARP2501211,Sinaloa,Mazatlán
AMBLM1306911,Hidalgo,Tizayuca
AMD1000500122,Durango,Durango
AMD1000500123,Durango,Durango
AMD1000500714,Durango,Durango
AMD1000500715,Durango,Durango
AMD3L1000511,Durango,Durango
AME0200300155,Baja California,Tecate
AME0200400099,Baja California,Tijuana
AME0200400385,Baja California,Tijuana
AME0200400386,Baja California,Tijuana
AME0801900023,Chihuahua,Chihuahua
AME0803700792,Chihuahua,Juárez
AME0805100008,Chihuahua,Ocampo
AME1104400036,Guanajuato,Villagrán
AME110600711,Colima,Manzanillo
AME1306100028,Hidalgo,Tepeapulco
AME1510601325,México,Toluca
AME1605200065,Michoacán de Ocampo,Lázaro Cárdenas
AME1901200031,Nuevo León,Ciénega de Flores
AME1C0803711,Chihuahua,Juárez
AME1I1901211,Nuevo León,Ciénega de Flores
AME2111400902,Puebla,Puebla
AME2201101279,Querétaro,El Marqués
AME2604200008,Michoacán de Ocampo,Copándaro
AME2604200008,Sonora,Cajeme
AME2604200008,Sonora,Navojoa
AME271403911,Jalisco,Guadalajara
AME2802200064,Tamaulipas,Matamoros
AME2802200094,Tamaulipas,Matamoros
AME2902800003,Tlaxcala,Teolocholco
AME3008200001,Veracruz de Ignacio de la Llave,Ixhuatlán del Sureste
AME3202600039,Zacatecas,Mazapil
AME460803711,Chihuahua,Juárez
AME510200411,Baja California,Tijuana
AME520200412,Baja California,Tijuana
AME560803711,Chihuahua,Juárez
AME5Q1000511,Durango,Durango
AME5T0900311,Ciudad de México,Coyoacán
AME5T0901011,Ciudad de México,Álvaro Obregón
AME5T0901211,Ciudad de México,Tlalpan
AME5U1510411,México,Tlalnepantla de Baz
AME5W0900511,Ciudad de México,Gustavo A. Madero
AME5X1510412,México,Tlalnepantla de Baz
AME690901111,Ciudad de México,Tláhuac
AME692201611,Querétaro,San Juan del Río
AME6E1510611,México,Toluca
AME6E1510612,México,Toluca
AME6E1904811,Nuevo León,Santa Catarina
AME6E2101511,Puebla,Amozoc
AME7L1505711,México,Naucalpan de Juárez
AME7T1306111,Hidalgo,Tepeapulco
AME7X0803711,Chihuahua,Juárez
AME7X2201411,Querétaro,Querétaro
AME860803711,Chihuahua,Juárez
AME860803721,Chihuahua,Juárez
AME8A1412011,Jalisco,Zapopan
AME8T0500212,Coahuila de Zaragoza,Acuña
AME911510411,México,Tlalnepantla de Baz
AME911902112,Nuevo León,General Escobedo
AME912402811,San Luis Potosí,San Luis Potosí
AME912802211,Tamaulipas,Matamoros
AME9G2201411,Querétaro,Querétaro
AME9G2402811,San Luis Potosí,San Luis Potosí
AME9M1901221,Nuevo León,Ciénega de Flores
AME9M2201111,Querétaro,El Marqués
AME9M2201411,Querétaro,Querétaro
AME9M2201421,Querétaro,Querétaro
AME9M2802211,Tamaulipas,Matamoros
AMEBD1102011,Guanajuato,León
AMEBD2701411,Tabasco,Paraíso
AMEEA1510411,México,Tlalnepantla de Baz
AMEEE1510411,México,Tlalnepantla de Baz
AMEEE1510412,México,Tlalnepantla de Baz
AMEKE0400211,Campeche,Campeche
AMEKE0900311,Ciudad de México,Coyoacán
AMEKE0901411,Ciudad de México,Benito Juárez
AMEKE2111411,Puebla,Cuautlancingo
AMEL70200211,Baja California,Mexicali
AMEL73105011,Yucatán,Mérida
AMELK1605311,Michoacán de Ocampo,Morelia
AMELT0502711,Coahuila de Zaragoza,Ramos Arizpe
AMEMC1605311,Michoacán de Ocampo,Morelia
AMEME2901511,Tlaxcala,Ixtacuixtla de Mariano Matamoros
AMEMV2107411,Puebla,Huejotzingo
AMEND3201711,Zacatecas,Guadalupe
AMERP1103211,Guanajuato,San José Iturbide
AMERP1510611,México,Toluca
AMETH3008711,Veracruz de Ignacio de la Llave,Xalapa
AMEZU1510911,México,Tultitlán
AMEZU1510921,México,Tultitlán
AMGS70400311,Campeche,Carmen
AMI0101100075,Aguascalientes,San Francisco de los Romo
AMI5N1600611,Michoacán de Ocampo,Apatzingán
AMI7Q0502711,Coahuila de Zaragoza,Ramos Arizpe
AMI7Q0503011,Coahuila de Zaragoza,Saltillo
AMI8Z1605311,Michoacán de Ocampo,Morelia
AMIAD3105011,Yucatán,Mérida
AMIL73004811,Veracruz de Ignacio de la Llave,Cosoleacaque
AMILM1510411,México,Tlalnepantla de Baz
AMITG3004811,Veracruz de Ignacio de la Llave,Cosoleacaque
AMM1103700037,Guanajuato,Silao de la Victoria
AMM1103700160,Guanajuato,Silao de la Victoria
AMM460501811,Coahuila de Zaragoza,Monclova
AMM6S2904811,Tlaxcala,La Magdalena Tlaltelulco
AMM6T0100511,Aguascalientes,Jesús María
AMM711503911,México,Ixtapaluca
AMM7I1503911,México,Ixtapaluca
AMM8A1901211,Nuevo León,Ciénega de Flores
AMM8C1605311,Michoacán de Ocampo,Morelia
AMM912604311,Sonora,Nogales
AMM9M1103711,Guanajuato,Silao de la Victoria
AMO0901700228,Ciudad de México,Venustiano Carranza
AMO1605300724,Michoacán de Ocampo,Morelia
AMO1900600139,Nuevo León,Apodaca
AMO3104800016,Yucatán,Maxcanú
AMO5E1405311,Jalisco,Lagos de Moreno
AMOEE1903921,Nuevo León,Monterrey
AMOEE1904611,Nuevo León,San Nicolás de los Garza
AMOKE1903911,Nuevo León,Monterrey
AMOKE1903931,Nuevo León,Monterrey
AMOKE3105013,Yucatán,Mérida
AMORP1903911,Nuevo León,Apodaca
AMORQ2500111,Sinaloa,Ahome
AMOS71605321,Michoacán de Ocampo,Morelia
AMP5A2803211,Tamaulipas,Reynosa
AMP7T2803211,Tamaulipas,Reynosa
AMP912803211,Tamaulipas,Reynosa
AMPNB2201412,Querétaro,Querétaro
AMQ1507500006,México,San Martín de las Pirámides
AMR5Q1505811,México,Nezahualcóyotl
AMS5E0803711,Chihuahua,Juárez
AMT640600911,Colima,Colima
AMUKE1903911,Nuevo León,Monterrey
AN08Z0200411,Baja California,Tijuana
ANA1400200020,Jalisco,Acatlán de Juárez
ANA1505705724,México,Naucalpan de Juárez
ANA1901800039,Nuevo León,García
ANA5P2108511,Puebla,Izúcar de Matamoros
ANC5H1507011,México,La Paz
ANCEA1403911,Jalisco,Guadalajara
ANG0400300268,Campeche,Carmen
ANI0900400152,Ciudad de México,Cuajimalpa de Morelos
ANI2Y2201411,Querétaro,Querétaro
ANI5U1900611,Nuevo León,Apodaca
ANI5U1901811,Nuevo León,García
ANI5U1903911,Nuevo León,Monterrey
ANIQA1505111,México,Lerma
ANJ5P1409711,Jalisco,San Pedro Tlaquepaque
ANJ5P1409711,Jalisco,Tlajomulco de Zúñiga
ANJ6I0803711,Chihuahua,Juárez
ANJAI0803711,Chihuahua,Juárez
ANJEA0803711,Chihuahua,Juárez
ANJEA1409711,Jalisco,Tlajomulco de Zúñiga
ANLLJ0501011,Coahuila de Zaragoza,Frontera
ANO1901800064,Nuevo León,García
ANO8Z0200411,Baja California,Tijuana
ANX2201101112,Querétaro,El Marqués
ANX631904811,Nuevo León,Santa Catarina
ANX632700411,Tabasco,Centro
ANXQA1409712,Jalisco,Tlajomulco de Zúñiga
ANXQV1903211,Nuevo León,Lampazos de Naranjo
ANXQV1904811,Nuevo León,Santa Catarina
ANXQV1904812,Nuevo León,Santa Catarina
AOATG2038511,Oaxaca,Santa Cruz Xoxocotlán
AOB8L2601811,Sonora,Cajeme
AOB8V2601811,Sonora,Cajeme
AOCS71512111,México,Cuautitlán Izcalli
AOD8S1412011,Jalisco,Zapopan
AOEND1505411,México,Metepec
AOI621409211,Jalisco,Teocuitatlán de Corona
AOM691102011,Guanajuato,León
AOM8Z1904111,Nuevo León,Pesquería
AOM912604311,Sonora,Nogales
AOMK91903911,Nuevo León,Monterrey
AON1412000982,Jalisco,Zapopan
AON912604311,Sonora,Nogales
AOP9X0200111,Baja California,Ensenada
AOPRP0200111,Baja California,Ensenada
AORKE2300511,Quintana Roo,Benito Juárez
AOXND1510191,México,Tultitlán
AOXND1510911,México,Tultitlán
AP&582802212,Tamaulipas,Matamoros
APA0706500001,Chiapas,Palenque
APA1505100092,México,Lerma
APA1903900129,Nuevo León,Monterrey
APA1Z3000311,Veracruz de Ignacio de la Llave,Acayucan
APA2700900003,Tabasco,Jalapa
APA7Q1505111,México,Lerma
APA8A1904611,Nuevo León,San Nicolás de los Garza
APAEE0803211,Chihuahua,Hidalgo del Parral
APAKE1901911,Nuevo León,García
APAKE1901911,Nuevo León,San Pedro Garza García
APAL70300311,Baja California Sur,La Paz
APAMQ1904611,Nuevo León,San Nicolás de los Garza
APARP2111411,Puebla,Puebla
APC252115611,Puebla,Tehuacán
APC9I1701111,Morelos,Jiutepec
APCKE0900311,Ciudad de México,Coyoacán
APE5X1902611,Nuevo León,Guadalupe
