nra	pag_1	nra_comp	pag_2	similitud
ATOEE0901411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATOEE0901411	ATOKE0901411	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATOKE0901411	0.9166666666666666
ATR910803711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATR910803711	ATR910803712	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=ATR910803712	0.9166666666666666
AUTEE0900511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AUTEE0900511	AUTEE0900711	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AUTEE0900711	0.9166666666666666
AWP9M1901211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AWP9M1901211	AWP9M1901221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=AWP9M1901221	0.9166666666666666
B&D8L2803211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=B&D8L2803211	B&D8L2803221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=B&D8L2803221	0.9166666666666666
B&DK90200211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=B&DK90200211	B&DK90200221	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=B&DK90200221	0.9166666666666666
BAC1M3003911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAC1M3003911	BAC1M3003912	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAC1M3003912	0.9166666666666666
BACMB2108511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BACMB2108511	BACMB2108561	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BACMB2108561	0.9166666666666666
BAR361903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAR361903911	BAR361903913	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAR361903913	0.9166666666666666
BAX5T1701111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAX5T1701111	BAX5T1701121	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BAX5T1701121	0.9166666666666666
BBC1501900001	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBC1501900001	BBC1501900008	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBC1501900008	0.9230769230769231
BBE0400200313	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBE0400200313	BBE0400200314	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBE0400200314	0.9230769230769231
BBEKE2300111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300111	BBEKE2300511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300511	0.9166666666666666
BBEKE2300111	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300111	BBEKE2300811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300811	0.9166666666666666
BBEKE2300511	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300511	BBEKE2300811	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE2300811	0.9166666666666666
BBEKE3105021	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE3105021	BBEKE3105023	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BBEKE3105023	0.9166666666666666
BCM9L0500211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BCM9L0500211	BCM9L0500212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BCM9L0500212	0.9166666666666666
BEM8A1403911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BEM8A1403911	BEM8A1403921	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BEM8A1403921	0.9166666666666666
BFCBB1900911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFCBB1900911	BFCBB1903911	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFCBB1903911	0.9166666666666666
BFR8A2802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802211	BFR8A2802212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802212	0.9166666666666666
BFR8A2802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802211	BFR8A2802213	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802213	0.9166666666666666
BFR8A2802211	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802211	BFR8A2802214	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802214	0.9166666666666666
BFR8A2802212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802212	BFR8A2802213	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802213	0.9166666666666666
BFR8A2802212	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802212	BFR8A2802214	https://rnca.tamps.cinvestav.mx/verificacion/nra/nombresestablecimientos.php?nra=BFR8A2802214	0.9166666666666666
