_id,cas,grupo,iarc,silentsprint,ssi_nombre,ssi_url,sustancia
65bd5c5f7d2fe1563734e004,7440-02-0,Metales y sus Compuestos,2B,No aparece en el listado,No aplica,No aplica,"Níquel (polvos respirables, humos o vapores)"
65bd5c5f7d2fe1563734e005,74-90-8,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cianuro de hidrógeno
65bd5c5f7d2fe1563734e006,26471-62-5,Hidrocarburos Aromáticos y Alifáticos,2B,Industrial chemicals,toluene diisocyanate mixtures,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=26471-62-5,Tolueno diisocianato
65bd5c5f7d2fe1563734e007,1763-23-1,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Ácido sulfónico de perfluorooctano y sus sales
65bd5c5f7d2fe1563734e008,1897-45-6,,2B,No aparece en el listado,No aplica,No aplica,Clorotalonil
65bd5c5f7d2fe1563734e009,57-74-9,Compuestos Orgánicos Persistentes (COP),2B,No aparece en el listado,No aplica,No aplica,Clordano
65bd5c5f7d2fe1563734e00a,92-67-1,Hidrocarburos Aromáticos y Alifáticos,1,Dyes,4-aminobiphenyl,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=92-67-1,4-Amino difenilo
65bd5c5f7d2fe1563734e00b,118-74-1,Compuestos Orgánicos Persistentes (COP),2B,No aparece en el listado,No aplica,No aplica,Hexaclorobenceno
65bd5c5f7d2fe1563734e00c,94-75-7,Plaguicidas,2B,No aparece en el listado,No aplica,No aplica,"Acido 2,4 Diclorofenoxiacetico"
65bd5c5f7d2fe1563734e00d,7783-06-4,Otras sustancias RETC,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Acido sulfhídrico
65bd5c5f7d2fe1563734e00e,110-86-1,Hidrocarburos Aromáticos y Alifáticos,2B,No aparece en el listado,No aplica,No aplica,Piridina
65bd5c5f7d2fe1563734e00f,Cd,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cadmio (compuestos)
65bd5c5f7d2fe1563734e010,205-99-2,,2B,No aparece en el listado,No aplica,No aplica,Benzo(b)fluoranteno
65bd5c5f7d2fe1563734e011,106-89-8,Sustancias Organohalogenadas,2A,No aparece en el listado,No aplica,No aplica,Epiclorhidrina
65bd5c5f7d2fe1563734e012,542-88-1,Sustancias Organohalogenadas,1,No aparece en el listado,No aplica,No aplica,Eter bis-cloro metilico
65bd5c5f7d2fe1563734e013,S/C2,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cadmio (compuestos)
65bd5c5f7d2fe1563734e014,S/C7,Gases de Efecto Invernadero (GEI),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Hidrobromofluorocarbonos
65bd5c5f7d2fe1563734e015,1309-64-4,,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Antimonio trióxido
65bd5c5f7d2fe1563734e016,101-68-8,,3,No aparece en el listado,No aplica,No aplica,Metileno bis(fenilisocianato)
65bd5c5f7d2fe1563734e017,306-83-2,Sustancias Agotadoras de la Capa de Ozono,No aparece en el listado,No aparece en el listado,No aplica,No aplica,"2,2-Dicloro-1,1,1-Trifluoroetano (HCFC-123)"
65bd5c5f7d2fe1563734e018,106-51-4,,3,No aparece en el listado,No aplica,No aplica,P-benzoquinona
65bd5c5f7d2fe1563734e019,7439-92-1,,2B,No aparece en el listado,No aplica,No aplica,"Plomo (polvos respirables, humos o vapores)"
65bd5c5f7d2fe1563734e01a,126-72-7,,2A,No aparece en el listado,No aplica,No aplica,"Fosfato de tris(2,3-dibromopropilo)"
65bd5c5f7d2fe1563734e01b,Cr,Metales y sus Compuestos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Cromo (compuestos)
65bd5c5f7d2fe1563734e01c,107-06-2,Sustancias Organohalogenadas,2B,Chlorinated solvent,"1,2-dichloroethane",http://sciencereview.silentspring.org/mamm_detail.cfm?cid=107-06-2,"1,2,-Dicloroetano"
65bd5c5f7d2fe1563734e01d,75-21-8,,1,Industrial chemicals,ethylene oxide,http://sciencereview.silentspring.org/mamm_detail.cfm?cid=75-21-8,Oxido de etileno
65bd5c5f7d2fe1563734e01e,1336-36-3,Compuestos Orgánicos Persistentes (COP),1,No aparece en el listado,No aplica,No aplica,Bifenilos policlorados
65bd5c5f7d2fe1563734e01f,67-66-3,Sustancias Organohalogenadas,2B,No aparece en el listado,No aplica,No aplica,Cloroformo
65bd5c5f7d2fe1563734e020,75-07-0,Otras sustancias RETC,2B,No aparece en el listado,No aplica,No aplica,Acetaldehido
65bd5c5f7d2fe1563734e021,120-82-1,Hidrocarburos Aromáticos y Alifáticos,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Triclorobenceno
65bd5c5f7d2fe1563734e022,79-34-5,Sustancias Organohalogenadas,2B,No aparece en el listado,No aplica,No aplica,"1,1,2,2-Tetracloroetano"
65bd5c5f7d2fe1563734e023,72-02-8,Compuestos Orgánicos Persistentes (COP),No aparece en el listado,No aparece en el listado,No aplica,No aplica,Endrin
65bd5c5f7d2fe1563734e024,79-46-9,Otras sustancias RETC,2B,No aparece en el listado,No aplica,No aplica,2-Nitropropano
65bd5c5f7d2fe1563734e025,7440-43-9,Metales y sus Compuestos,1,No aparece en el listado,No aplica,No aplica,Cadmio
65bd5c5f7d2fe1563734e026,81-81-2,Plaguicidas,No aparece en el listado,No aparece en el listado,No aplica,No aplica,Warfarina
