nra,anio,cantidad_reportes
ACE7T2201611,2006,1
ACE7T2201611,2007,1
ACE7T2201611,2008,1
ACE7T2201611,2009,1
ACE7T2201611,2010,1
ACE7T2201611,2011,1
ACE7T2201611,2012,1
ACE7T2201611,2013,1
ACE7T2201611,2014,1
ACE7T2201611,2015,1
ACE7T2201611,2016,1
ACE7T2201611,2017,1
ACE7T2201611,2018,1
ACE7T2201611,2019,1
ACE7T2201611,2020,1
ACE7T2201611,2021,1
ACE7T2201611,2022,1
ACE8V0801711,2004,1
ACE8V0801711,2005,1
ACE8V0801711,2006,1
ACE8V0801911,2004,1
ACE8V0801911,2005,1
ACE8V0801911,2006,1
ACE8V0803211,2004,1
ACE8V0803211,2005,1
ACE8V0803211,2006,1
ACE8V0803211,2009,1
ACE8V0804511,2004,1
ACE8V0804511,2005,1
ACE8V0804511,2006,1
ACE8V0804511,2009,1
ACE8V0805011,2004,1
ACE8V0805011,2005,1
ACE8V0805011,2006,1
ACE8V2500111,2005,1
ACE8V2500111,2006,1
ACE8V2500111,2007,1
ACE8V2500111,2008,1
ACE8V2500111,2011,1
ACE8V2500111,2012,1
ACE8V2500111,2013,1
ACE8V2500111,2014,1
ACE8V2500111,2015,1
ACE8V2500111,2016,1
ACE8V2500111,2017,1
ACE8V2500111,2018,1
ACE8V2500111,2019,1
ACE8V2500111,2021,1
ACE9K2201111,2004,1
ACE9K2201111,2005,1
ACE9K2201111,2006,1
ACE9K2201111,2007,1
ACE9K2201111,2008,1
ACE9K2201112,2004,1
ACE9K2201112,2005,1
ACE9K2201112,2006,1
ACE9K2201112,2007,1
ACFKE1904611,2013,1
ACG8A0900611,2010,1
ACI3L1509511,2009,1
ACI3L1509511,2010,1
ACI3L1509511,2011,1
ACI3L1509511,2012,1
ACI3L1509511,2013,1
ACIRP0801911,2012,1
ACIRP0801911,2013,1
ACIRP0801911,2014,1
ACIRP0801911,2015,1
ACIRP0801911,2016,1
ACIRP0801911,2017,1
ACIRP0801911,2018,1
ACIRP0801911,2019,1
ACIRP0801911,2020,1
ACIRP0801911,2021,1
ACIRP0801911,2022,1
ACJL70803711,2013,1
ACJL70803711,2014,1
ACJL70803711,2018,1
ACJL70803711,2019,1
ACL5I1901011,2005,1
ACL5I1901011,2006,1
ACLMB2603011,2006,1
ACM1903900209,2014,1
ACM1M1901211,2008,1
ACM3L1100711,2010,1
ACM3L1100711,2011,1
ACM3L1100711,2012,1
ACM3L1100711,2013,1
ACM3L1100711,2014,1
ACM3L1100711,2015,1
ACM3L1100711,2016,1
ACM3L1100711,2017,1
ACM3L1100711,2018,1
ACM3L1100711,2019,1
ACM3L1100711,2020,1
ACM3L1100711,2021,1
ACM3L1100711,2022,1
ACM5W1505711,2012,1
ACM690900511,2010,1
ACM690900511,2011,1
ACM690900511,2012,1
ACM690900511,2013,1
ACM6E0503011,2004,1
ACM6E0503011,2005,1
ACM6E0503011,2006,1
ACM7X2201411,2015,1
ACM7X2201411,2016,1
ACM7X2201411,2018,1
ACM7X2201411,2019,1
ACM7X2201411,2020,1
ACM7X2201411,2022,1
ACM9M2201111,2004,1
ACM9M2201111,2005,1
ACM9M2201111,2007,1
ACMEA1510911,2004,1
ACO5E0900711,2006,1
ACO5V1100711,2004,1
ACO5V1100711,2005,1
ACO5V1100711,2006,1
ACO5V1100711,2007,1
ACO5V1100711,2008,1
ACO5W1510411,2004,1
ACO5W1510411,2005,1
ACO5W1510411,2007,1
ACO5W1510411,2008,1
ACO5W1510411,2010,1
ACO5W1510411,2011,1
ACO5W1510411,2012,1
ACO5W1510411,2013,1
ACO7F1510411,2004,1
ACO7F1510411,2005,1
ACO7F1510411,2007,1
ACO7F1510411,2008,1
ACO7F1510411,2009,1
ACO7F1510411,2010,1
ACO7F1510411,2011,1
ACO7F1510411,2012,1
ACO7F1510411,2013,1
ACO7F1510411,2015,1
ACO7F1510411,2016,1
ACO7F1510411,2017,1
ACO7F1510411,2019,1
ACO7F1510411,2020,1
ACO7F1510411,2021,1
ACO8N2803211,2004,1
ACO8N2803211,2005,1
ACO8N2803211,2007,1
ACO8N2803211,2008,1
ACO8N2803211,2009,1
ACO910200411,2006,1
ACOEA1510611,2004,1
ACOLJ1403911,2011,1
ACOM91510611,2005,1
ACOM91510611,2006,1
ACOM92007911,2009,1
ACOM92007911,2010,1
ACORP0900311,2004,1
ACOTE2800311,2011,1
ACOTE2800311,2012,1
ACPMC1403912,2006,1
ACR7X0803711,2012,1
ACR7X0803711,2013,1
ACR7X0803711,2014,1
ACR7X0803711,2015,1
ACR7X0803711,2016,1
ACR7X0803711,2017,1
ACR7X0803711,2018,1
ACR7X0803711,2019,1
ACR7X0803711,2020,1
ACR7X0803711,2021,1
ACR7X0803711,2022,1
ACRKE2111411,2014,1
ACSKE2402811,2017,1
ACSMC2111411,2008,1
ACT7X0200311,2005,1
ACT7X0200311,2006,1
ACT7X0200311,2007,1
ACT7X0200311,2008,1
ACT7X0200311,2009,1
ACT7X0200311,2010,1
ACT7X0200311,2011,1
ACT7X0200311,2012,1
ACT7X0200311,2013,1
ACT7X0200311,2016,1
ACT7X0200311,2017,1
ACT7X0200311,2018,1
ACT7X0200311,2019,1
ACT7X0200311,2020,1
ACT7X0200311,2021,1
ACU1903900043,2013,1
ACU1903900043,2015,1
ACU1903900043,2017,1
ACU1903900043,2018,1
ACU1903900043,2019,1
ACU1903900043,2020,1
ACU1903900043,2021,1
ACU191512111,2012,1
ACU191512111,2013,1
ACUEE0900311,2005,1
ACUEE0900311,2006,1
ACUEE0900311,2007,1
ACUEE0900311,2008,1
ACUEE1901911,2010,1
ACUEE1901911,2011,1
ACUEE1901911,2013,1
ACUKE1903911,2010,1
ACUKE1903911,2011,1
ACUKE1903911,2012,1
ACUKE1903911,2015,1
ACUKE1903911,2017,1
ACUKE1903911,2018,1
ACUKE1903911,2019,1
ACUKE1903911,2020,1
ACUKE1903911,2021,1
ACUKE1903911,2022,1
ACUKE1903921,2006,1
ACUKE1903921,2010,1
ACUKE1903921,2011,1
ACUKE1903921,2012,1
ACUKE1903921,2017,1
ACUKE1904611,2010,1
ACUKE1904611,2011,1
ACUKE1904611,2013,1
ACUKE1904811,2013,1
ACUKE1904811,2017,1
ACUKE1904811,2018,1
ACUKE1904811,2019,1
ACUKE1904811,2020,1
ACUKE1904811,2021,1
ACUKE1904811,2022,1
ACURP2500611,2005,1
ACURP2500611,2007,1
ACURP2500611,2013,1
ACURP2500611,2014,1
ACURP2500611,2016,1
ACURP2500612,2005,1
ACV5H1605311,2004,1
ACV5H1605311,2005,1
ACV5H1605311,2006,1
ACV5H1605311,2007,1
ACV5H1605311,2008,1
ACV5H1605311,2009,1
ACV5H1605311,2010,1
ACV5H1605311,2011,1
ACV5H1605311,2012,1
ACV5H1605311,2013,1
ACV5H1605311,2014,1
ACV5H1605311,2015,1
ACV5H1605311,2016,1
ACV5H1605311,2017,1
ADC0400200328,2022,1
ADC0501800005,2012,1
ADC0501800005,2013,1
ADC2903300062,2022,1
ADC940802111,2005,1
ADC940802111,2006,1
ADCBE3105011,2022,1
ADDBB1510411,2006,1
ADE5P1901611,2008,1
ADE5P1901611,2009,1
ADE5P1901611,2010,1
ADE5P1901611,2011,1
ADEN22201411,2012,1
ADEN22201411,2013,1
ADEN22201411,2020,1
ADH5G2901511,2005,1
ADH5G2901511,2006,1
ADH5G2901511,2007,1
ADH5G2901511,2008,1
ADH5G2901511,2009,1
ADH5G2901511,2010,1
ADH5G2901511,2011,1
ADH5G2901511,2012,1
ADH5G2901511,2013,1
ADH5G2901511,2014,1
ADH5G2901511,2016,1
ADH5G2901511,2017,1
ADH5G2901511,2018,1
ADH5G2901511,2019,1
ADH5G2901511,2020,1
ADH5G2901511,2021,1
ADH5G2901511,2022,1
ADHEA2901511,2004,1
ADIKE1503711,2011,1
ADIKE1503711,2012,1
