_id,latitudnorte,longitudoeste
65bec4d6675c397043f14f6a,"29°3'30""","110°44'35"""
65bec4d6675c397043f14f6b,"20°56'33""","89°39'50"""
65bec4d6675c397043f14f6c,19.45942,-99.17387
65bec4d6675c397043f14f6d,"19°3'19""","98°12'52"""
65bec4d6675c397043f14f6e,"25°43'1.76""","100°31'7.29"""
65bec4d6675c397043f14f6f,19.29451,-99.53241
65bec4d6675c397043f14f70,22.03423,-102.26738
65bec4d6675c397043f14f71,31.61672,-106.36279
65bec4d6675c397043f14f72,"19°40'16""","103°22'25"""
65bec4d6675c397043f14f73,"25°50'16""","-97°26'26"""
65bec4d6675c397043f14f74,31.84726,-116.58299
65bec4d6675c397043f14f75,"18°54'42""","99°10'27"""
65bec4d6675c397043f14f76,"10°6'57""","80°21'56"""
65bec4d6675c397043f14f77,"19°1'40""","0.98°15'45"""
65bec4d6675c397043f14f78,"20°21'43""","99°12'28"""
65bec4d6675c397043f14f79,"20°39'38""","103°22'31"""
65bec4d6675c397043f14f7a,"19°26'43""","100°28'15"""
65bec4d6675c397043f14f7b,"25°50'40.86""","100°19'25.41"""
65bec4d6675c397043f14f7c,22.08491,-100.90049
65bec4d6675c397043f14f7d,"20°34'30""","100°33'35"""
65bec4d6675c397043f14f7e,"27°27'21""","-109°53'16"""
65bec4d6675c397043f14f7f,19.44145,-99.18849
65bec4d6675c397043f14f80,"18°47'53""","99°10'35"""
65bec4d6675c397043f14f81,"25º43'21""","100º15'04"""
65bec4d6675c397043f14f82,"19°35'37""","98°34'28"""
65bec4d6675c397043f14f83,19.60707,-98.93635
65bec4d6675c397043f14f84,31.61509,-106.36788
65bec4d6675c397043f14f85,31.61372,-106.36722
65bec4d6675c397043f14f86,25.54425,-103.40749
65bec4d6675c397043f14f87,"20°36'40""","100°20'2"""
65bec4d6675c397043f14f88,"20°33'40""","100°16'7"""
65bec4d6675c397043f14f89,"19°0'32""","103°45'57"""
65bec4d6675c397043f14f8a,"20°6'55""","102°15'40"""
65bec4d6675c397043f14f8b,31.74979,-106.43525
65bec4d6675c397043f14f8c,31.73544,-106.41835
65bec4d6675c397043f14f8d,"20°37'20""","-103°22'16"""
65bec4d6675c397043f14f8e,"20°31'0""","100°55'0"""
65bec4d6675c397043f14f8f,25.84189,-97.44121
65bec4d6675c397043f14f90,"20°31'59""","100°27'33"""
65bec4d6675c397043f14f91,"19°6'26""","97°52'45"""
65bec4d6675c397043f14f92,18.65388,-91.84129
65bec4d6675c397043f14f93,20.63789,-100.4312
65bec4d6675c397043f14f94,"23°12'8""","106°24'47"""
65bec4d6675c397043f14f95,19.44528,-99.20806
65bec4d6675c397043f14f96,"20°39'0""","103°18'0"""
65bec4d6675c397043f14f97,"20°43'0""","103°23'0"""
65bec4d6675c397043f14f98,"25º45'44.51""","100º32'50.63"""
65bec4d6675c397043f14f99,"20°25'4""","0.99°58'51"""
65bec4d6675c397043f14f9a,"25°53'18""","-97°33'44"""
65bec4d6675c397043f14f9b,"19°31'52""","-99°3'37"""
65bec4d6675c397043f14f9c,"22°5'48""","100°37'38"""
65bec4d6675c397043f14f9d,"20°35'5""","103°17'10"""
65bec4d6675c397043f14f9e,26.02859,-98.2159
65bec4d6675c397043f14f9f,"26°0'49""","98°12'51"""
65bec4d6675c397043f14fa0,"32°27'40""","0.116°57'7"""
65bec4d6675c397043f14fa1,"31°19'58""","106°29'0"""
65bec4d6675c397043f14fa2,31.62402,-106.45089
65bec4d6675c397043f14fa3,"19°17'12""","99°34'5"""
65bec4d6675c397043f14fa4,25.59262,-100.90888
65bec4d6675c397043f14fa5,19.66467,-99.19285
65bec4d6675c397043f14fa6,"20°34'10""","100°16'10"""
65bec4d6675c397043f14fa7,"29°1'23""","110°52'42"""
65bec4d6675c397043f14fa8,"22°9'4""","100°58'34"""
65bec4d6675c397043f14fa9,20.63698,-103.35412
65bec4d6675c397043f14faa,"18°0'0""","94°43'47"""
65bec4d6675c397043f14fab,"18°4'20""","96°8'13"""
65bec4d6675c397043f14fac,26.02897,-98.36717
65bec4d6675c397043f14fad,22.10248,-100.89341
65bec4d6675c397043f14fae,"25º43'1.89""","100º16'55.83"""
65bec4d6675c397043f14faf,19.53178,-99.1175
65bec4d6675c397043f14fb0,20.64885,-103.35079
65bec4d6675c397043f14fb1,"22°58'22""","102°42'27"""
65bec4d6675c397043f14fb2,"19°29'15""","98°3'50"""
65bec4d6675c397043f14fb3,"19°33'23""","0.99°14'52"""
65bec4d6675c397043f14fb4,31.74981,-106.43831
65bec4d6675c397043f14fb5,31.69,-106.46081
65bec4d6675c397043f14fb6,"23°10'16""","102°52'55"""
65bec4d6675c397043f14fb7,"23°11'47""","102°51'39"""
65bec4d6675c397043f14fb8,"22°45'6""","102°30'16"""
65bec4d6675c397043f14fb9,"0°0'0""","0°0'0"""
65bec4d6675c397043f14fba,31.67604,-106.44943
65bec4d6675c397043f14fbb,"19°34'9""","-99°15'52"""
65bec4d6675c397043f14fbc,"26°50'30""","98°12'0"""
65bec4d6675c397043f14fbd,"26°2'47""","98°22'24"""
65bec4d6675c397043f14fbe,"25°52'57""","0.97°33'4"""
65bec4d6675c397043f14fbf,"25°28'7""","100°59'24"""
65bec4d6675c397043f14fc0,"20°25'0""","101°5'0"""
65bec4d6675c397043f14fc1,25.50872,-100.9638
65bec4d6675c397043f14fc2,"19°44'16""","101°7'83"""
65bec4d6675c397043f14fc3,"25°30'30""","100°57'45"""
65bec4d6675c397043f14fc4,"19°5'40""","98°11'27"""
65bec4d6675c397043f14fc5,19.66963,-99.20319
65bec4d6675c397043f14fc6,"19°16'37""","99°28'49"""
65bec4d6675c397043f14fc7,"22°26'24""","0.97°58'6"""
65bec4d6675c397043f14fc8,"31°40'3""","-106°23'52"""
65bec4d6675c397043f14fc9,19.29578,-99.60986
65bec4d6675c397043f14fca,"19°16'37""","-99°30'28"""
65bec4d6675c397043f14fcb,20.72741,-103.38725
65bec4d6675c397043f14fcc,"25°52'58""","97°32'51"""
65bec4d6675c397043f14fcd,"25°53'24""","97°33'45"""
65bec4d6675c397043f14fce,"25°27'0""","-100°59'58"""
65bec4d6675c397043f14fcf,31.63041,-106.38825
65bec4d6675c397043f14fd0,"19°50'1""","101°46'12"""
65bec4d6675c397043f14fd1,"31°52'8""","0.116°36'15"""
65bec4d6675c397043f14fd2,"25º45'16.01""","100º08'18.2"""
65bec4d6675c397043f14fd3,24.07927,-104.66687
65bec4d6675c397043f14fd4,"25º46'18""","100º09'46"""
65bec4d6675c397043f14fd5,"31°53'21""","0.116°41'29"""
65bec4d6675c397043f14fd6,"25°16'30""","100°8'30"""
65bec4d6675c397043f14fd7,"26°1'7""","98°13'59"""
65bec4d6675c397043f14fd8,"19°34'9""","99°15'52"""
65bec4d6675c397043f14fd9,19.6558,-99.19164
65bec4d6675c397043f14fda,"19°8'44""","99°34'41"""
65bec4d6675c397043f14fdb,"25º42'27.61""","100º16'39.99"""
65bec4d6675c397043f14fdc,"20°29'32""","103°13'28"""
65bec4d6675c397043f14fdd,"25°29'47""","100°58'59"""
