CLEE,Name,Stratum,Entity,Municipality,Locality,AGEB,rdate,NAICSCode,NAICSName,Latitude,Longitude
19019212110000013000000000U3,MINERIA Y ENREGIA DEL NORESTE SA,11 a 30 personas,Coahuila de Zaragoza,Sabinas,Cloete,837,2020-11,212110,Minería de carbón mineral,27.91803408,-101.18012119
19019212232000011001040225M9,IMPULSORA MINERA SANTACRUZ,251 y más personas,Nuevo León,San Pedro Garza García,San Pedro Garza García,83,2012-06,212222,Minería de plata,25.65715281,-100.35833775
19019213119000032010000000U3,"COMPANIA NUEVA MINERA LA LUZ, S.A. DE C.V.",11 a 30 personas,Nuevo León,San Pedro Garza García,San Pedro Garza García,98,2010-07,212232,Minería de plomo y zinc,25.6587174,-100.35553392
19021212110000022000000000U0,MAGNUSSON COKE Y MINERALS,6 a 10 personas,Nuevo León,General Escobedo,Ciudad General Escobedo,1944,2020-11,212110,Minería de carbón mineral,25.81935371,-100.33611262
19039212232000011000000000U7,"ZINC NACIONAL, S.A.",0 a 5 personas,Nuevo León,Monterrey,Monterrey,3714,2014-12,212232,Minería de plomo y zinc,25.61737156,-100.27033051
19039324199000011000000000U3,MINERALES Y CARBONES DE MEXICO SA DE CV,0 a 5 personas,Coahuila de Zaragoza,Saltillo,Saltillo,2193,2020-11,212110,Minería de carbón mineral,25.44040574,-100.97566467
19045212110000023000000000U0,DISTRIBUCIONES INDUSTRIALES DEL NORESTE,11 a 30 personas,Nuevo León,Salinas Victoria,Salinas Victoria,223,2020-11,212110,Minería de carbón mineral,25.96030856,-100.29343303
19046212395000021000000000U6,MOLINO DE MINERALES,0 a 5 personas,Nuevo León,San Nicolás de los Garza,San Nicolás de los Garza,1676,2020-11,212395,Minería de fluorita,25.71290111,-100.29617279
25007212232000021000000000U5,"MINERA RIO TINTO, S.A. DE C.V.",0 a 5 personas,Chihuahua,Chihuahua,Chihuahua,2306,2016-01,212232,Minería de plomo y zinc,28.61639797,-106.02275542
26003212222000043000026502S8,SERVICIO PASMEX SA DE CV,0 a 5 personas,Sonora,Alamos,El Zapote,1221,2019-11,212222,Minería de plata,26.77972564,-108.68836018
26003212222000054000023923S5,CASA CLUB ALAMO DORADO,31 a 50 personas,Sonora,Alamos,Álamos,1310,2020-11,212222,Minería de plata,27.03551652,-108.94238505
26003212231000017000000000U3,COBRE DEL MAYO SA DE CV,251 y más personas,Sonora,Alamos,Nuevo Piedras Verdes,971,2014-12,212231,Minería de cobre,27.11259217,-108.99114591
26003212231000027001016795S2,B METALS MEXICO,101 a 250 personas,Sonora,Alamos,Nuevo Piedras Verdes,971,2019-04,212231,Minería de cobre,27.11528905,-108.99084015
26004212221000011001017071M5,MINERA SANTA RITA,101 a 250 personas,Sonora,Altar,La Mina,926,2016-01,212221,Minería de oro,30.78882752,-111.92189326
26008212221000017100000000U3,MINERA PENMONT,251 y más personas,Sonora,Caborca,Heroica Caborca,2352,2014-12,212221,Minería de oro,30.71596101,-112.1639301
26009212221000017001017071S1,MINERA SANTA RITA,6 a 10 personas,Sonora,Hermosillo,Hermosillo,5005,2014-12,212221,Minería de oro,29.02219886,-110.90532865
26017212221000017000000000U4,MINERA PENMONT,251 y más personas,Sonora,Caborca,Mina la Herradura,166A,2014-12,212221,Minería de oro,31.14871222,-112.85302778
26017212221000021000000000U6,EL PLOMITO MINERA,0 a 5 personas,Sonora,Caborca,Heroica Caborca,1424,2020-11,212221,Minería de oro,30.71644397,-112.15145675
26017212231000013000000000U2,EXPLORACIONES MINERAS PEÑOLES S. A. DE C. V.,11 a 30 personas,Sonora,Caborca,Heroica Caborca,2314,2014-12,212231,Minería de cobre,30.70687679,-112.14553818
26019212231000047001000000U6,"MINERA MARIA, S. A. DE C.V.",101 a 250 personas,Sonora,Cananea,Los Alisos,473,2014-12,212231,Minería de cobre,31.02362694,-110.4076675
26019212231000051001000000U8,"OPERADORA DE MINAS E INSTALACIONES MINERAS, S.A. DE C.V.",251 y más personas,Sonora,Cananea,Heroica Ciudad de Cananea,295,2014-12,212231,Minería de cobre,30.98248016,-110.31628715
26019212231000063000000000U3,MINERA DE COAHUILA SA DE CV,11 a 30 personas,Sonora,Cananea,Heroica Ciudad de Cananea,596,2020-11,212231,Minería de cobre,30.99219344,-110.26734822
