nra,estado,municipio
AIG5N1409811,JALISCO,Tlaquepaque
AIH6D1510411,MEXICO,Tlalnepantla de Baz
AIJ1408300008,JALISCO,Tala
AIJ1408300008,Jalisco,Tala
AIM210000005,PUEBLA,Puebla
AIM2201600336,QUERETARO,San Juan del Rio
AIM2201600336,Querétaro,San Juan del Río
AIM520200411,BAJA CALIFORNIA,Tijuana
AIM521502411,MEXICO,Cuautitlan
AIM7J0200211,BAJA CALIFORNIA,Mexicali
AIM9M0801911,CHIHUAHUA,Chihuahua
AIM9M2111411,PUEBLA,Puebla
AIMQB2600211,SONORA,Agua Prieta
AIN1901200068,Nuevo León,Ciénega de Flores
AIN1Z0502811,COAHUILA,Sabinas
AIN1Z0502811,Coahuila de Zaragoza,Sabinas
AIN232803211,TAMAULIPAS,Reynosa
AIN4N2802211,TAMAULIPAS,Matamoros
AIN7N1903911,NUEVO LEON,Monterrey
AIN7N1903911,Nuevo León,Monterrey
AIN9M1902611,NUEVO LEON,Monterrey
AINKE0900311,DISTRITO FEDERAL,Coyoacan
AINMD1902611,NUEVO LEON,Guadalupe
AINMD1902611,Nuevo León,Guadalupe
AINNG0200211,BAJA CALIFORNIA,Mexicali
AINNG0200211,Baja California,Mexicali
AIP3K2117411,PUEBLA,Teziutlan
AIP9M2802211,TAMAULIPAS,Matamoros
AIRLJ1409711,JALISCO,Tlajomulco de Zuniga
AIS2802702755,TAMAULIPAS,Nuevo Laredo
AISMD2802711,TAMAULIPAS,Nuevo Laredo
AISRE2700411,TABASCO,Paraiso
AIV7X0200211,BAJA CALIFORNIA,Mexicali
AJA0900500338,Ciudad de México,Gustavo A. Madero
AJA0900500338,DISTRITO FEDERAL,Gustavo A. Madero
AJA5W0900511,DISTRITO FEDERAL,Gustavo A. Madero
AJAEE0900311,DISTRITO FEDERAL,Coyoacan
AJAEE0901411,DISTRITO FEDERAL,Benito Juarez
AJEBT2107411,PUEBLA,Huejotzingo
AJEBT2107411,Puebla,Huejotzingo
AJN0803701097,CHIHUAHUA,Juarez
AJN0803701097,Chihuahua,Juárez
AJU0803700310,CHIHUAHUA,Juarez
AJU0803700310,Chihuahua,Juárez
AJU0803700383,CHIHUAHUA,Juarez
AJU0803700383,Chihuahua,Juárez
AJU520803711,CHIHUAHUA,Juarez
AJU910803711,CHIHUAHUA,Juarez
AJU9M0803711,CHIHUAHUA,Juarez
ALA2S2802711,TAMAULIPAS,Nuevo Laredo
ALA5T3200411,DISTRITO FEDERAL,Benito Juarez
ALA5T3200412,DISTRITO FEDERAL,Benito Juarez
ALAEE0503511,COAHUILA,Torreon
ALAEE0503521,COAHUILA,Torreon
ALC0502700173,Coahuila de Zaragoza,Ramos Arizpe
ALC0503003018,COAHUILA,Saltillo
ALC0503003018,Coahuila de Zaragoza,Saltillo
ALC1900600067,NUEVO LEON,Apodaca
ALC7F1605211,MICHOACAN,Lazaro Cardenas
ALC910803711,CHIHUAHUA,Juarez
ALCLJ1306311,HIDALGO,Tepeji del Rio de Ocampo
ALE7L0502711,COAHUILA,Ramos Arizpe
ALE7Q1505111,MEXICO,Lerma
ALELJ0900711,DISTRITO FEDERAL,Iztapalapa
ALI1902600055,NUEVO LEON,Guadalupe
ALI1902600055,Nuevo León,Guadalupe
ALM0501800024,COAHUILA,Monclova
ALM0501800024,Coahuila de Zaragoza,Monclova
ALM0900300231,DISTRITO FEDERAL,Coyoacan
ALM1510600742,MEXICO,Toluca
ALM1510600742,México,Toluca
ALM1904100002,NUEVO LEON,Pesqueria
ALM1904100002,Nuevo León,Pesquería
ALM1L1411911,JALISCO,Zacoalco de Torres
ALM1L1411911,Jalisco,Zacoalco de Torres
ALM5M1510611,MEXICO,Toluca
ALM5T0900311,DISTRITO FEDERAL,Coyoacan
ALM5T0900322,Ciudad de México,Coyoacán
ALM5T0900322,DISTRITO FEDERAL,Coyoacan
ALM5T0901221,DISTRITO FEDERAL,Coyoacan
ALM5T0901411,DISTRITO FEDERAL,Benito Juarez
ALM8T2803211,TAMAULIPAS,Reynosa
ALM912803211,TAMAULIPAS,Reynosa
ALMEA1411911,JALISCO,Zacoalco de Torres
ALMEA2111411,PUEBLA,Puebla
ALMKE0503511,COAHUILA,Torreon
ALMKE0503512,COAHUILA,Torreon
ALMTI0503511,COAHUILA,Torreon
ALNLJ1901811,NUEVO LEON,Garcia
ALP920803711,CHIHUAHUA,Juarez
ALSKE2402811,SAN LUIS POTOSI,San Luis Potosi
ALU0100100034,AGUASCALIENTES,Aguascalientes
ALU1103200082,Guanajuato,San José Iturbide
ALU1503300396,MEXICO,Ecatepec de Morelos
ALU7Q2111411,PUEBLA,Puebla
AMA070000003,CHIAPAS,Mapastepec
AMA0705100008,CHIAPAS,Mapastepec
AMA0711400003,CHIAPAS,Benemerito de las Americas
