_id,latitudnorte,longitudoeste
65be16a76925a840ab8f47af,"19°31'52""","-99°3'37"""
65be16a76925a840ab8f47b0,"22°5'48""","100°37'38"""
65be16a76925a840ab8f47b1,"20°35'5""","103°17'10"""
65be16a76925a840ab8f47b3,"26°0'49""","98°12'51"""
65be16a76925a840ab8f47b4,"32°27'40""","0.116°57'7"""
65be16a76925a840ab8f47b5,"31°19'58""","106°29'0"""
65be16a76925a840ab8f47b7,"19°17'12""","99°34'5"""
65be16a76925a840ab8f47ba,"20°34'10""","100°16'10"""
65be16a76925a840ab8f47bb,"29°1'23""","110°52'42"""
65be16a76925a840ab8f47bc,"22°9'4""","100°58'34"""
65be16a76925a840ab8f47be,"18°0'0""","94°43'47"""
65be16a76925a840ab8f47bf,"18°4'20""","96°8'13"""
65be16a76925a840ab8f47c2,"25º43'1.89""","100º16'55.83"""
65be16a76925a840ab8f47c5,"22°58'22""","102°42'27"""
65be16a76925a840ab8f47c6,"19°29'15""","98°3'50"""
65be16a76925a840ab8f47c7,"19°33'23""","0.99°14'52"""
65be16a76925a840ab8f47ca,"23°10'16""","102°52'55"""
65be16a76925a840ab8f47cb,"23°11'47""","102°51'39"""
65be16a76925a840ab8f47cc,"22°45'6""","102°30'16"""
65be16a76925a840ab8f47cd,"0°0'0""","0°0'0"""
65be16a76925a840ab8f47cf,"19°34'9""","-99°15'52"""
65be16a76925a840ab8f47d0,"26°50'30""","98°12'0"""
65be16a76925a840ab8f47d1,"26°2'47""","98°22'24"""
65be16a76925a840ab8f47d2,"25°52'57""","0.97°33'4"""
65be16a76925a840ab8f47d3,"25°28'7""","100°59'24"""
65be16a76925a840ab8f47d4,"20°25'0""","101°5'0"""
65be16a76925a840ab8f47d6,"19°44'16""","101°7'83"""
65be16a76925a840ab8f47d7,"25°30'30""","100°57'45"""
65be16a76925a840ab8f47d8,"19°5'40""","98°11'27"""
65be16a76925a840ab8f47da,"19°16'37""","99°28'49"""
65be16a76925a840ab8f47db,"22°26'24""","0.97°58'6"""
65be16a76925a840ab8f47dc,"31°40'3""","-106°23'52"""
65be16a76925a840ab8f47de,"19°16'37""","-99°30'28"""
65be16a76925a840ab8f47e0,"25°52'58""","97°32'51"""
65be16a76925a840ab8f47e1,"25°53'24""","97°33'45"""
65be16a76925a840ab8f47e2,"25°27'0""","-100°59'58"""
65be16a76925a840ab8f47e4,"19°50'1""","101°46'12"""
65be16a76925a840ab8f47e5,"31°52'8""","0.116°36'15"""
65be16a76925a840ab8f47e6,"25º45'16.01""","100º08'18.2"""
65be16a76925a840ab8f47e8,"25º46'18""","100º09'46"""
65be16a76925a840ab8f47e9,"31°53'21""","0.116°41'29"""
65be16a76925a840ab8f47ea,"25°16'30""","100°8'30"""
65be16a76925a840ab8f47eb,"26°1'7""","98°13'59"""
65be16a76925a840ab8f47ec,"19°34'9""","99°15'52"""
65be16a76925a840ab8f47ee,"19°8'44""","99°34'41"""
65be16a76925a840ab8f47ef,"25º42'27.61""","100º16'39.99"""
65be16a76925a840ab8f47f0,"20°29'32""","103°13'28"""
65be16a76925a840ab8f47f1,"25°29'47""","100°58'59"""
65be16a76925a840ab8f47f4,"26°1'50""","98°25'9"""
65be16a76925a840ab8f47f5,"17°59'0""","92°18'0"""
65be16a76925a840ab8f47f6,"19°54'24""","99°39'7"""
65be16a76925a840ab8f47f7,"25º40'25.53""","100º24'45.14"""
65be16a76925a840ab8f47f8,"19°11'0""","99°28'0"""
65be16a76925a840ab8f47fb,"22°7'24""","0.1°55'7"""
65be16a76925a840ab8f47fc,"21°56'15""","0.1°17'24"""
65be16a76925a840ab8f47fd,"19°48'11""","-99°52'44"""
65be16a76925a840ab8f47fe,"21°14'47""","100°36'32"""
65be16a76925a840ab8f47ff,"32°36'20""","115°37'35"""
65be16a76925a840ab8f4802,"18°52'0""","99°10'25"""
65be16a76925a840ab8f4803,"25º43'25.39""","100º16'46.11"""
65be16a76925a840ab8f4804,"19°29'40""","98°30'59"""
65be16a76925a840ab8f4808,"19°27'23""","99°13'19"""
65be16a76925a840ab8f4809,"29°59'42""","98°11'48"""
65be16a76925a840ab8f480c,"19°27'0""","-99°7'14"""
65be16a76925a840ab8f480d,"19°27'2""","-99°7'11"""
65be16a76925a840ab8f4811,"24°1'26""","104°34'12"""
65be16a76925a840ab8f4812,"14°52'54""","92°16'51"""
65be16a76925a840ab8f4813,"20°36'31""","-100°23'55"""
65be16a76925a840ab8f4815,"31°43'37""","106°28'45"""
65be16a76925a840ab8f4816,"23°59'37""","104°37'38"""
65be16a76925a840ab8f4817,"29°1'38""","0.11°55'1"""
65be16a76925a840ab8f4818,"31°37'28""","106°20'46"""
65be16a76925a840ab8f481b,"20°37'54""","-103°21'25"""
65be16a76925a840ab8f481c,"26°0'23""","98°12'38"""
65be16a76925a840ab8f4820,"25º46'8""","100º10'2"""
65be16a76925a840ab8f4821,"82°12'38""","5°30'41"""
65be16a76925a840ab8f4823,"19°28'32""","-99°13'21"""
65be16a76925a840ab8f4825,"25°33'51""","-103°27'40"""
65be16a76925a840ab8f4827,"20°0'0""","0.98°0'0"""
65be16a76925a840ab8f4828,"22°44'18""","98°57'45"""
65be16a76925a840ab8f4829,"21°0'30""","89°40'6"""
65be16a76925a840ab8f482a,"25°31'41""","103°21'39"""
65be16a76925a840ab8f482b,"25º41'31.77""","100º21'09.35"""
65be16a76925a840ab8f482c,"25°53'52.32""",100°12'53.46
65be16a76925a840ab8f482d,"25°42'35""","-100°18'12"""
65be16a76925a840ab8f482e,"27°1'48""","101°51'11"""
65be16a76925a840ab8f4831,"25°43'56""","0.1°14'47"""
65be16a76925a840ab8f4832,"31°41'2""","105°26'42"""
65be16a76925a840ab8f4834,"20°32'16""","103°15'37"""
65be16a76925a840ab8f4835,"0°0'0""","0°0'0"""
65be16a76925a840ab8f4838,"18°36'04""","103°30'06"""
65be16a76925a840ab8f4839,"19°10'0""","-103°53'45"""
65be16a76925a840ab8f483a,"18°57'38""","-103°53'26"""
65be16a76925a840ab8f483b,"25º42'05.22""","100º31'38.89"""
65be16a76925a840ab8f483c,"22°14'19""","97°52'44"""
65be16a76925a840ab8f483e,"19°12'46""","98°24'28"""
65be16a76925a840ab8f4840,"18°16'3""","93°50'12"""
65be16a76925a840ab8f4841,"25°51'24""","-97°28'13"""
65be16a76925a840ab8f4842,"23°44'57""","99°7'52"""
65be16a76925a840ab8f4845,"20°28'3""","103°22'1"""
65be16a76925a840ab8f4846,"26°0'21""","98°13'40"""
65be16a76925a840ab8f4847,"25°45'28""","0.1°18'22"""
65be16a76925a840ab8f4849,"22°14'58""","97°51'54"""
65be16a76925a840ab8f484b,"22°44'49""","102°34'53"""
65be16a76925a840ab8f484f,"19°48'38""","98°58'5"""
65be16a76925a840ab8f4850,"20°37'31""","-103°20'4"""
65be16a76925a840ab8f4851,"19°6'31""","-98°13'44"""
65be16a76925a840ab8f4852,"20°59'28""","-100°24'7"""
65be16a76925a840ab8f4853,"20°38'14""","103°19'54"""
65be16a76925a840ab8f4854,"25°35'54""","-100°54'18"""
65be16a76925a840ab8f4856,"29°2'46""","110°51'28"""
65be16a76925a840ab8f4857,"25º43'8""","100º17'23"""
65be16a76925a840ab8f4859,"19°28'34""","98°6'40"""
65be16a76925a840ab8f485a,"19°22'45""","99°34'5"""
65be16a76925a840ab8f485b,"20°37'51""","-103°20'7"""
65be16a76925a840ab8f485c,"29°5'58""","0.111°5'54"""
65be16a76925a840ab8f485d,"29°20'21""","-100°59'44"""
